year,round_number,total_matches,matches_without_changes,matches_with_one_change,matches_with_multiple_changes,unknown_results,malformed_matches,total_snapshots
2016,22,25,5,9,11,0,0,70
2016,23,79,64,7,8,0,0,107
2016,24,28,16,7,5,0,0,47
2016,25,31,22,6,3,0,0,44
2016,26,37,28,5,4,0,0,51
2016,27,82,64,16,2,0,0,103
2016,28,27,9,6,12,0,0,64
2016,29,82,65,9,8,0,0,110
2016,30,24,7,12,5,0,0,48
2016,31,75,57,14,4,0,0,97
2016,32,63,40,11,12,0,0,103
2016,33,69,55,11,3,0,0,86
2016,34,15,5,6,4,0,0,29
2016,35,75,63,9,3,0,0,91
2016,36,41,31,6,4,0,0,62
2016,37,81,72,6,3,0,0,93
2016,38,19,13,3,3,0,0,31
2016,39,73,61,7,5,0,0,91
2016,40,18,6,10,2,0,0,34
2016,41,28,21,4,3,0,0,38
2016,42,24,14,6,4,0,0,44
2016,43,46,31,8,7,0,0,72
2016,44,24,13,7,4,0,0,42
2016,45,38,29,5,4,0,0,56
2016,46,23,18,4,1,0,0,29
2016,47,31,26,4,1,0,0,38
2016,48,26,19,2,5,0,0,40
2016,49,31,23,5,3,0,0,42
2016,50,17,8,6,3,0,0,30
2016,51,28,20,4,4,0,0,41
2016,52,13,5,3,5,0,0,35
2016,53,21,18,0,3,0,0,30
2016,54,4,2,2,0,0,0,6
2016,55,21,19,2,0,0,0,23
2016,56,13,12,1,0,0,0,14
2016,57,18,13,2,3,0,0,27
2016,58,8,1,4,3,0,0,19
2016,59,20,12,3,5,0,0,34
2016,60,5,2,0,3,0,0,12
2016,61,19,13,3,3,0,0,30
2016,62,12,9,0,3,0,0,20
2016,63,28,23,3,2,0,0,35
2016,64,20,11,5,4,0,0,37
2016,65,54,43,8,3,0,0,69
2016,66,25,22,2,1,0,0,30
2016,67,65,60,2,3,0,0,74
2016,68,19,16,3,0,0,0,22
2016,69,75,57,7,11,0,0,107
2016,70,27,15,7,5,0,0,44
2016,71,25,14,8,3,0,0,41
2016,72,35,25,5,5,0,0,50
2016,73,73,60,9,4,0,0,90
2016,74,48,40,5,3,0,0,61
2016,75,74,63,8,3,0,0,90
2016,76,57,34,13,10,0,0,94
2016,77,73,57,10,6,0,0,97
2016,78,51,33,8,10,0,0,82
2016,79,78,62,12,4,0,0,101
2016,80,27,21,6,0,0,0,33
2016,81,31,24,5,2,0,0,41
2016,82,30,20,0,10,0,0,61
